feature,importance_gain,lgbm_rank,mutual_info,mi_rank,target_corr,corr_rank,avg_rank
nfp_nsa_mom_lag12,1660534723.696289,1,1.0077319289673046,1,0.4687446493605761,12,4.666666666666667
is_jan,447454123.40625,2,0.28312999111975934,42,0.590868152921041,3,15.666666666666666
is_july,40631531.0,11,0.24833902313572764,58,0.24518665692739086,45,38.0
emp_sa_private_services_education_health_education_nsa_mom,14422184.0,39,0.28238184539139066,43,0.23325444741258286,50,44.0
emp_sa_private_services_trade_transportation_utilities_utilities_nsa_latest,89058055.5,4,0.16181086464033134,90,0.23812344084839612,47,47.0
nfp_nsa_acceleration,24331417.090820312,27,0.43653675264788516,12,0.16478536948175407,141,60.0
month_cos,6276337.1015625,78,0.7162854776815517,2,0.17745958146867385,124,68.0
emp_sa_private_services_other_religious_nsa_3m_chg,1087190.1015625,126,0.2731451013291726,47,0.2783036221463187,35,69.33333333333333
emp_sa_private_services_financial_finance_insurance_nsa_3m_chg,495972.0,179,0.2953308798951615,37,0.34090364653253485,22,79.33333333333333
Oil_Prices_zscore_3m_max_lag1,24715486.599609375,26,0.06211765817162629,161,0.22516196566968796,55,80.66666666666667
emp_sa_private_services_trade_transportation_utilities_transportation_warehousing_nsa_rolling_3m,11278000.0,50,0.2554499617484769,53,0.16519543197698222,140,81.0
nfp_nsa_mom_rolling_3m,790085.8984375,141,0.4239721125856928,14,0.19240867111914928,97,84.0
CCSA_MoM_Pct_2yr_change,2985200.5,91,0.06529183994537213,158,0.5177295448555376,6,85.0
emp_sa_private_services_professional_business_professional_technical_nsa_3m_chg,649047.5,160,0.2739828795648145,46,0.20246539865391033,84,96.66666666666667
emp_sa_private_goods_construction_heavy_civil_nsa_mom,574389.0,170,0.27663347813393147,45,0.20219285284147628,86,100.33333333333333
Oil_Prices_zscore_3m_mean_lag1,12559378.3984375,44,0.06711341944318772,155,0.18922246500798212,105,101.33333333333333
NOAA_Human_Impact_Index_lag3,1244379.0,119,0.08766986823224698,134,0.22270997923374258,58,103.66666666666667
emp_sa_government_federal_postal_nsa_latest,552270.0,173,0.12901804203577516,110,0.28517374673844104,32,105.0
emp_sa_private_services_education_health_nsa_3m_chg,362909.0,211,0.4021776292854442,15,0.19463830350798575,95,107.0
emp_sa_private_goods_construction_specialty_nsa_volatility,3908348.7998046875,84,0.08924123879498147,131,0.18508901611049722,113,109.33333333333333
CCSA_MoM_Pct_mom_change,494349.2958984375,180,0.05744081678643065,173,0.5471213848948037,4,119.0
emp_sa_private_services_trade_transportation_utilities_transportation_warehousing_nsa_latest,682997.0,154,0.13512435530148093,102,0.19033283885060576,102,119.33333333333333
emp_sa_private_services_trade_transportation_utilities_transportation_warehousing_nsa_volatility,2357585.0,99,0.13854993478161948,99,0.15151924877786507,174,124.0
CB_Consumer_Confidence_18m_change,93134480.796875,3,0.056644679180196,175,0.14186178937771296,207,128.33333333333334
VIX_p99_lag1,2282904.09765625,101,0.05579130989736303,179,0.18841264175193517,106,128.66666666666666
emp_sa_private_services_information_nsa_3m_chg,2187645.6015625,104,0.11631810725920033,119,0.15131176870369853,176,133.0
CCSA_MoM_Pct_18m_change,9792681.900390625,58,0.025268501353253203,335,0.5167938852138659,7,133.33333333333334
emp_sa_government_federal_postal_nsa_mom,956355.0,130,0.06956165707548312,152,0.1587670521499871,151,144.33333333333334
CCSA_MoM_Pct_rolling_mean_6,1606510.0,111,0.061633939847721475,163,0.15396077851131101,162,145.33333333333334
nfp_nsa_mom_lag3,8426171.006835938,68,0.23388596289917762,61,0.11663109337599106,313,147.33333333333334
Credit_Spreads_accel_volatility_lag1,2000963.0,106,0.028893020184275198,301,0.2780144364849621,36,147.66666666666666
emp_sa_private_services_other_religious_nsa_rolling_3m,2203270.0,103,0.29586505417585185,36,0.1175250125115489,306,148.33333333333334
JOLTS_Layoffs_mom_change,25294765.700195312,22,0.01826995902245354,416,0.4679607009250672,13,150.33333333333334
SP500_zscore_3m_min_lag12,24746110.0,25,0.02850698239065963,308,0.17785572893839421,123,152.0
