Feature,Category,Index
nfp_nsa_mom_lag12,NFP_Lagged,1
is_jan,Other,2
is_july,Other,3
emp_sa_private_services_education_health_education_nsa_mom,Other,4
month_cos,Calendar,5
emp_sa_private_services_trade_transportation_utilities_utilities_nsa_latest,Other,6
emp_sa_private_services_financial_finance_insurance_nsa_3m_chg,Other,7
emp_sa_government_nsa_mom,Other,8
emp_sa_private_goods_construction_heavy_civil_nsa_mom,Other,9
emp_sa_private_services_trade_transportation_utilities_transportation_warehousing_nsa_rolling_3m,Calendar,10
emp_sa_government_local_education_nsa_3m_chg,Other,11
Oil_Prices_zscore_3m_max_lag1,Oil,12
CCSA_MoM_Pct_2yr_change,Claims,13
emp_sa_private_services_education_health_health_social_nsa_rolling_3m,Other,14
CCSA_MoM_Pct_mom_change,Claims,15
emp_sa_government_local_excluding_education_nsa_latest,Other,16
NOAA_Human_Impact_Index_lag3,NOAA,17
Oil_Prices_zscore_3m_mean_lag1,Oil,18
nfp_nsa_mom_lag2,NFP_Lagged,19
emp_sa_government_state_excluding_education_nsa_latest,Other,20
emp_sa_private_services_trade_transportation_utilities_transportation_warehousing_nsa_volatility,Calendar,21
emp_sa_private_goods_construction_heavy_civil_nsa_latest,Other,22
emp_sa_private_goods_construction_specialty_nsa_volatility,Other,23
ADP_forecast_2yr_change,ADP,24
emp_sa_private_services_professional_business_professional_technical_nsa_3m_chg,Calendar,25
emp_sa_private_services_information_publishing_nsa_3m_chg,Other,26
emp_sa_private_services_trade_transportation_utilities_nsa_latest,Other,27
ADP_forecast_yoy_change,ADP,28
CB_Consumer_Confidence_18m_change,Consumer_Confidence,29
emp_sa_private_services_other_religious_nsa_rolling_3m,Other,30
emp_sa_government_state_excluding_education_nsa_mom,Other,31
JOLTS_Layoffs_mom_change,JOLTS,32
CCSA_MoM_Pct_6m_change,Claims,33
emp_sa_government_federal_postal_nsa_mom,Other,34
emp_sa_private_services_information_nsa_3m_chg,Other,35
emp_sa_private_services_information_motion_picture_nsa_3m_chg,Other,36
nfp_nsa_mom_lag3,NFP_Lagged,37
emp_sa_private_services_other_repair_nsa_mom,Other,38
emp_sa_private_services_financial_real_estate_nsa_3m_chg,Other,39
Weekly_Econ_Index_monthly_avg_mom_change,Calendar,40
ADP_actual_latest,ADP,41
CCSA_max_spike_6m_change,Claims,42
CCSA_max_spike_2yr_change,Claims,43
Credit_Spreads_accel_volatility_lag1,Credit,44
SP500_30d_return_latest,Other,45
SP500_30d_return_yoy_change,Other,46
emp_sa_private_services_professional_business_management_companies_nsa_3m_chg,Calendar,47
nfp_nsa_mom_rolling_6m,NFP_Lagged,48
Credit_Spreads_vol_of_changes_volatility_6m,Credit,49
ISM_Manufacturing_Index_latest,ISM,50
Credit_Spreads_vol_of_changes_rolling_mean_3,Credit,51
Yield_Curve_zscore_12m_max_mom_change,Yield_Curve,52
Credit_Spreads_acceleration_trend_12m,Credit,53
CCSA_MoM_Pct_18m_change,Claims,54
Oil_Prices_volatility_latest,Oil,55
CCSA_MoM_Pct_rolling_mean_12,Claims,56
SP500_zscore_3m_min_lag12,Other,57
ISM_Manufacturing_Index_yoy_change,ISM,58
ISM_NonManufacturing_Index_2yr_change,ISM,59
Credit_Spreads_acceleration_2yr_change,Credit,60
Credit_Spreads_acceleration_rolling_mean_3,Credit,61
CB_Consumer_Confidence_mom_change,Consumer_Confidence,62
JOLTS_Layoffs_yoy_change,JOLTS,63
nfp_nsa_divergence_3m,NFP_Lagged,64
