Feature,Category,Index
nfp_nsa_mom_lag12,NFP_Lagged,1
emp_sa_private_services_education_health_education_nsa_mom,Other,2
is_jan,Other,3
month_cos,Calendar,4
is_july,Other,5
emp_sa_government_local_nsa_latest,Other,6
emp_sa_private_services_trade_transportation_utilities_utilities_nsa_latest,Other,7
emp_sa_government_nsa_mom,Other,8
emp_sa_private_services_professional_business_professional_technical_nsa_3m_chg,Calendar,9
emp_sa_private_services_other_religious_nsa_3m_chg,Other,10
emp_private_govt_ratio,Other,11
emp_sa_private_services_financial_finance_insurance_nsa_3m_chg,Other,12
emp_sa_private_services_trade_transportation_utilities_utilities_nsa_mom,Other,13
emp_sa_private_services_financial_finance_insurance_nsa_latest,Other,14
emp_sa_private_services_financial_real_estate_nsa_3m_chg,Other,15
emp_sa_private_services_professional_business_nsa_latest,Calendar,16
emp_sa_private_services_trade_transportation_utilities_transportation_warehousing_nsa_rolling_3m,Calendar,17
nfp_nsa_mom_lag3,NFP_Lagged,18
emp_sa_government_federal_except_postal_nsa_3m_chg,Other,19
emp_sa_government_local_nsa_mom_pct,Other,20
nfp_nsa_divergence_3m,NFP_Lagged,21
emp_sa_private_services_nsa_rolling_3m,Other,22
CB_Consumer_Confidence_18m_change,Consumer_Confidence,23
ISM_Manufacturing_Index_latest,ISM,24
JOLTS_Layoffs_mom_change,JOLTS,25
emp_sa_private_services_professional_business_professional_technical_nsa_latest,Calendar,26
emp_sa_private_services_information_nsa_3m_chg,Other,27
ADP_forecast_yoy_change,ADP,28
quarter_sin,Calendar,29
CCSA_MoM_Pct_rolling_mean_3,Claims,30
ADP_forecast_2yr_change,ADP,31
ADP_actual_2yr_change,ADP,32
emp_sa_private_services_professional_business_management_companies_nsa_3m_chg,Calendar,33
CCSA_MoM_Pct_latest,Claims,34
emp_sa_government_federal_except_postal_nsa_mom,Other,35
emp_sa_government_federal_nsa_latest,Other,36
emp_sa_private_goods_manufacturing_nondurable_nsa_6m_chg,Other,37
emp_sa_private_services_leisure_hospitality_arts_nsa_3m_chg,Other,38
emp_sa_private_services_professional_business_professional_technical_nsa_rolling_3m,Calendar,39
emp_sa_government_nsa_6m_chg,Other,40
emp_sa_private_services_education_health_nsa_3m_chg,Other,41
ADP_actual_latest,ADP,42
emp_sa_private_services_information_publishing_nsa_latest,Other,43
nfp_nsa_mom_lag2,NFP_Lagged,44
emp_sa_private_services_leisure_hospitality_nsa_yoy,Other,45
emp_sa_private_services_professional_business_management_companies_nsa_mom,Calendar,46
emp_sa_government_local_education_nsa_mom_pct,Other,47
NOAA_Human_Impact_Index_lag3,NOAA,48
nfp_nsa_mom_rolling_6m,NFP_Lagged,49
Oil_Prices_volatility_latest,Oil,50
emp_sa_private_services_information_data_processing_nsa_rolling_3m,Calendar,51
emp_sa_private_services_information_motion_picture_nsa_3m_chg,Other,52
emp_sa_government_federal_nsa_3m_chg,Other,53
nfp_sa_mom_lag2,NFP_Lagged,54
emp_sa_private_services_financial_real_estate_nsa_mom,Other,55
emp_sa_government_local_excluding_education_nsa_mom,Other,56
emp_sa_private_goods_construction_heavy_civil_nsa_rolling_3m,Other,57
Credit_Spreads_vol_of_changes_rolling_mean_3,Credit,58
emp_sa_government_state_nsa_mom_pct,Other,59
Challenger_Job_Cuts_mom_change,Challenger,60
Credit_Spreads_vol_of_changes_volatility_6m,Credit,61
emp_sa_private_services_other_nsa_rolling_3m,Other,62
emp_sa_private_services_professional_business_admin_waste_nsa_latest,Calendar,63
