Feature,Category,Index
nfp_nsa_mom_lag12,NFP_Lagged,1
emp_sa_private_services_education_health_education_nsa_mom,Other,2
is_jan,Other,3
emp_sa_government_local_nsa_mom,Other,4
month_cos,Calendar,5
emp_sa_government_local_nsa_mom_pct,Other,6
emp_sa_private_services_trade_transportation_utilities_utilities_nsa_latest,Other,7
is_july,Other,8
emp_sa_private_services_professional_business_professional_technical_nsa_3m_chg,Calendar,9
emp_sa_government_local_education_nsa_3m_chg,Other,10
emp_private_govt_ratio,Other,11
emp_sa_private_nsa_mom,Other,12
emp_sa_private_services_trade_transportation_utilities_transportation_warehousing_nsa_rolling_3m,Calendar,13
emp_sa_private_services_trade_transportation_utilities_utilities_nsa_mom,Other,14
emp_sa_private_services_professional_business_admin_waste_nsa_latest,Calendar,15
CCSA_MoM_Pct_rolling_mean_3,Claims,16
emp_sa_government_federal_except_postal_nsa_3m_chg,Other,17
emp_sa_private_services_nsa_rolling_3m,Other,18
nfp_nsa_mom_lag3,NFP_Lagged,19
emp_sa_private_services_financial_finance_insurance_nsa_latest,Other,20
emp_sa_private_services_leisure_hospitality_arts_nsa_3m_chg,Other,21
quarter_sin,Calendar,22
nfp_nsa_mom_lag2,NFP_Lagged,23
CCSA_MoM_Pct_latest,Claims,24
emp_sa_government_federal_nsa_latest,Other,25
ADP_forecast_2yr_change,ADP,26
emp_sa_private_services_professional_business_professional_technical_nsa_latest,Calendar,27
emp_sa_private_services_other_religious_nsa_3m_chg,Other,28
nfp_nsa_divergence_3m,NFP_Lagged,29
emp_sa_government_state_nsa_mom_pct,Other,30
ISM_Manufacturing_Index_latest,ISM,31
CB_Consumer_Confidence_mom_change,Consumer_Confidence,32
JOLTS_Layoffs_mom_change,JOLTS,33
emp_sa_private_services_other_repair_nsa_mom,Other,34
emp_sa_private_services_education_health_health_social_nsa_rolling_3m,Other,35
ISM_Manufacturing_Index_mom_change,ISM,36
NOAA_Human_Impact_Index_lag3,NOAA,37
ADP_actual_2yr_change,ADP,38
emp_sa_private_services_education_health_health_social_nsa_mom,Other,39
emp_sa_government_state_excluding_education_nsa_3m_chg,Other,40
ADP_actual_latest,ADP,41
ADP_forecast_yoy_change,ADP,42
emp_sa_private_goods_construction_heavy_civil_nsa_rolling_3m,Other,43
emp_sa_private_services_professional_business_nsa_mom,Calendar,44
ADP_forecast_6m_change,ADP,45
emp_sa_private_services_information_nsa_latest,Other,46
emp_sa_private_services_leisure_hospitality_nsa_yoy,Other,47
emp_sa_government_federal_except_postal_nsa_latest,Other,48
emp_sa_private_services_financial_nsa_3m_chg,Other,49
emp_sa_government_nsa_6m_chg,Other,50
emp_sa_private_services_information_data_processing_nsa_rolling_3m,Calendar,51
Oil_Prices_volatility_latest,Oil,52
emp_sa_private_services_information_data_processing_nsa_6m_chg,Calendar,53
ISM_NonManufacturing_Index_mom_change,ISM,54
Credit_Spreads_vol_of_changes_18m_change,Credit,55
Credit_Spreads_vol_of_changes_volatility_6m,Credit,56
emp_sa_private_services_professional_business_management_companies_nsa_latest,Calendar,57
emp_sa_private_services_professional_business_management_companies_nsa_3m_chg,Calendar,58
emp_sa_private_services_professional_business_management_companies_nsa_6m_chg,Calendar,59
CCSA_MoM_Pct_2yr_change,Claims,60
emp_sa_government_local_education_nsa_mom_pct,Other,61
emp_sa_government_local_excluding_education_nsa_mom,Other,62
Challenger_Job_Cuts_mom_change,Challenger,63
emp_sa_private_services_other_nsa_rolling_3m,Other,64
emp_sa_government_state_education_nsa_mom_pct,Other,65
