Feature,Category,Index
nfp_nsa_mom_lag12,NFP_Lagged,1
emp_sa_private_services_education_health_education_nsa_mom,Other,2
is_jan,Other,3
month_cos,Calendar,4
is_july,Other,5
emp_sa_private_services_financial_finance_insurance_nsa_3m_chg,Other,6
emp_sa_government_nsa_mom,Other,7
emp_sa_private_services_trade_transportation_utilities_utilities_nsa_latest,Other,8
emp_sa_private_services_professional_business_professional_technical_nsa_3m_chg,Calendar,9
emp_private_govt_ratio,Other,10
emp_sa_private_nsa_mom,Other,11
emp_sa_government_local_nsa_mom_pct,Other,12
nfp_nsa_mom_lag2,NFP_Lagged,13
emp_sa_private_services_trade_transportation_utilities_transportation_warehousing_nsa_rolling_3m,Calendar,14
emp_sa_private_services_trade_transportation_utilities_utilities_nsa_mom,Other,15
emp_sa_government_federal_nsa_latest,Other,16
emp_sa_private_services_financial_finance_insurance_nsa_latest,Other,17
emp_sa_government_federal_postal_nsa_6m_chg,Other,18
emp_sa_government_federal_except_postal_nsa_3m_chg,Other,19
nfp_nsa_mom_lag3,NFP_Lagged,20
NOAA_Human_Impact_Index_lag3,NOAA,21
quarter_sin,Calendar,22
JOLTS_Layoffs_mom_change,JOLTS,23
ADP_forecast_2yr_change,ADP,24
CCSA_MoM_Pct_rolling_mean_3,Claims,25
emp_sa_private_services_professional_business_professional_technical_nsa_rolling_3m,Calendar,26
emp_sa_private_services_professional_business_admin_waste_nsa_latest,Calendar,27
emp_sa_private_services_professional_business_management_companies_nsa_latest,Calendar,28
emp_sa_private_services_professional_business_nsa_mom,Calendar,29
ISM_Manufacturing_Index_latest,ISM,30
nfp_nsa_mom_rolling_6m,NFP_Lagged,31
emp_sa_private_services_nsa_rolling_3m,Other,32
CB_Consumer_Confidence_mom_change,Consumer_Confidence,33
emp_sa_private_services_professional_business_professional_technical_nsa_latest,Calendar,34
CCSA_MoM_Pct_latest,Claims,35
ISM_Manufacturing_Index_mom_change,ISM,36
ADP_forecast_yoy_change,ADP,37
emp_sa_private_services_education_health_health_social_nsa_mom,Other,38
emp_sa_government_state_nsa_mom_pct,Other,39
emp_sa_private_services_information_publishing_nsa_3m_chg,Other,40
nfp_nsa_divergence_3m,NFP_Lagged,41
ADP_actual_latest,ADP,42
emp_sa_private_services_professional_business_management_companies_nsa_3m_chg,Calendar,43
Credit_Spreads_vol_of_changes_volatility_6m,Credit,44
emp_sa_government_nsa_6m_chg,Other,45
emp_sa_private_services_trade_transportation_utilities_transportation_warehousing_nsa_latest,Calendar,46
emp_sa_private_services_information_data_processing_nsa_rolling_3m,Calendar,47
Oil_Prices_volatility_latest,Oil,48
ADP_forecast_18m_change,ADP,49
emp_sa_government_federal_nsa_3m_chg,Other,50
Credit_Spreads_vol_of_changes_rolling_mean_3,Credit,51
emp_sa_private_services_financial_real_estate_nsa_mom,Other,52
emp_sa_private_services_information_motion_picture_nsa_3m_chg,Other,53
CCSA_MoM_Pct_2yr_change,Claims,54
emp_sa_private_services_leisure_hospitality_arts_nsa_3m_chg,Other,55
ADP_actual_yoy_change,ADP,56
emp_sa_government_local_education_nsa_mom_pct,Other,57
emp_sa_private_services_leisure_hospitality_nsa_yoy,Other,58
nfp_sa_mom_lag2,NFP_Lagged,59
emp_sa_private_services_other_religious_nsa_3m_chg,Other,60
emp_sa_private_goods_construction_heavy_civil_nsa_mom,Other,61
Challenger_Job_Cuts_mom_change,Challenger,62
emp_sa_private_services_other_nsa_rolling_3m,Other,63
ISM_Manufacturing_Index_6m_change,ISM,64
emp_sa_private_services_education_health_nsa_3m_chg,Other,65
Credit_Spreads_vol_of_changes_18m_change,Credit,66
